2022-04-28 03:31:14 INFO     Sleep 60
2022-04-28 03:32:15 INFO     Click Boss
2022-04-28 03:32:15 INFO     Tap Attack 2
2022-04-28 03:34:16 INFO     Activate Rio Blast
2022-04-28 03:34:17 INFO     Swipe to Fourth Set
2022-04-28 03:41:44 INFO     Click Boss
2022-04-28 03:43:19 INFO     Click Mekaneck
2022-04-28 03:46:55 INFO     Click He-Man
2022-04-28 03:48:47 INFO     Upgrade Rio Blast, Mekaneck, He-Man
2022-04-28 03:49:47 INFO     START
2022-04-28 03:49:47 INFO     2022-04-28 03:49:47.579191
2022-04-28 03:50:11 INFO     Click First Boss
2022-04-28 03:50:36 INFO     Reload Game
2022-04-28 03:51:04 INFO     START
2022-04-28 03:51:04 INFO     2022-04-28 03:51:04.965590
2022-04-28 03:51:28 INFO     Click First Boss
2022-04-28 03:51:57 INFO     Scroll to Second Set
2022-04-28 03:52:50 INFO     Third Set
2022-04-28 03:53:40 INFO     Swipe Attack 1
2022-04-28 04:00:39 INFO     Sleep 1
2022-04-28 04:00:40 INFO     Activate Zodac
2022-04-28 04:00:40 INFO     Sleep 60
2022-04-28 04:01:41 INFO     Click Boss
2022-04-28 04:01:42 INFO     Tap Attack 2
2022-04-28 04:03:43 INFO     Activate Rio Blast
2022-04-28 04:03:44 INFO     Swipe to Fourth Set
2022-04-28 04:06:25 INFO     Click Boss
2022-04-28 04:08:00 INFO     Click Mekaneck
2022-04-28 04:11:36 INFO     Click He-Man
2022-04-28 04:13:28 INFO     Upgrade Rio Blast, Mekaneck, He-Man
2022-04-28 04:19:32 INFO     START
2022-04-28 04:19:32 INFO     2022-04-28 04:19:32.375618
2022-04-28 04:19:56 INFO     Click First Boss
2022-04-28 04:20:25 INFO     Scroll to Second Set
2022-04-28 04:21:32 INFO     Third Set
2022-04-28 04:22:05 INFO     Swipe Attack 1
2022-04-28 04:29:04 INFO     Sleep 1
2022-04-28 04:29:05 INFO     Activate Zodac
2022-04-28 04:29:05 INFO     Sleep 60
2022-04-28 04:30:06 INFO     Click Boss
2022-04-28 04:30:07 INFO     Tap Attack 2
2022-04-28 04:32:07 INFO     Activate Rio Blast
2022-04-28 04:32:09 INFO     Swipe to Fourth Set
2022-04-28 04:32:36 INFO     Click Boss
2022-04-28 04:34:12 INFO     Click Mekaneck
2022-04-28 04:37:47 INFO     Click He-Man
2022-04-28 04:39:40 INFO     Upgrade Rio Blast, Mekaneck, He-Man
2022-04-28 04:40:40 INFO     START
2022-04-28 04:40:40 INFO     2022-04-28 04:40:40.111679
2022-04-28 04:41:03 INFO     Click First Boss
2022-04-28 04:41:32 INFO     Scroll to Second Set
2022-04-28 04:41:55 INFO     Third Set
2022-04-28 04:42:10 INFO     Swipe Attack 1
2022-04-28 04:49:09 INFO     Sleep 1
2022-04-28 04:49:10 INFO     Activate Zodac
2022-04-28 04:49:10 INFO     Sleep 60
2022-04-28 04:50:11 INFO     Click Boss
2022-04-28 04:50:12 INFO     Tap Attack 2
2022-04-28 04:52:12 INFO     Activate Rio Blast
2022-04-28 04:52:14 INFO     Swipe to Fourth Set
2022-04-28 04:53:04 INFO     Click Boss
2022-04-28 04:54:40 INFO     Click Mekaneck
2022-04-28 04:58:15 INFO     Click He-Man
2022-04-28 05:00:07 INFO     Upgrade Rio Blast, Mekaneck, He-Man
2022-04-28 05:06:11 INFO     START
2022-04-28 05:06:11 INFO     2022-04-28 05:06:11.104869
2022-04-28 05:06:34 INFO     Click First Boss
2022-04-28 05:07:03 INFO     Scroll to Second Set
2022-04-28 05:07:26 INFO     Third Set
2022-04-28 05:07:59 INFO     Swipe Attack 1
2022-04-28 05:14:58 INFO     Sleep 1
2022-04-28 05:14:59 INFO     Activate Zodac
2022-04-28 05:14:59 INFO     Sleep 60
2022-04-28 05:16:00 INFO     Click Boss
2022-04-28 05:16:01 INFO     Tap Attack 2
2022-04-28 05:18:01 INFO     Activate Rio Blast
2022-04-28 05:18:03 INFO     Swipe to Fourth Set
2022-04-28 05:19:37 INFO     Click Boss
2022-04-28 09:52:24 INFO     2022-04-28 09:52:24.462000
2022-04-28 09:52:24 INFO     START
2022-04-28 09:52:24 INFO     2022-04-28 09:52:24.463005
2022-04-28 09:52:56 INFO     Click First Boss
2022-04-28 09:53:25 INFO     Scroll to Second Set
2022-04-28 09:53:47 INFO     Third Set
2022-04-28 09:54:03 INFO     Swipe Attack 1
2022-04-28 10:01:01 INFO     Sleep 1
2022-04-28 10:01:02 INFO     Activate Zodac
2022-04-28 10:01:03 INFO     Sleep 60
2022-04-28 10:02:04 INFO     Click Boss
2022-04-28 10:02:04 INFO     Tap Attack 2
2022-04-28 10:04:04 INFO     Activate Rio Blast
2022-04-28 10:04:06 INFO     Swipe to Fourth Set
2022-04-28 10:04:33 INFO     Click Boss
2022-04-28 10:06:08 INFO     Click Mekaneck
2022-04-28 10:09:44 INFO     Click He-Man
2022-04-28 10:11:36 INFO     Upgrade Rio Blast, Mekaneck, He-Man
2022-04-28 10:12:24 INFO     Upgrade Teela
2022-04-28 10:15:32 INFO     START
2022-04-28 10:15:32 INFO     2022-04-28 10:15:32.530968
2022-04-28 10:15:56 INFO     Click First Boss
2022-04-28 10:16:25 INFO     Scroll to Second Set
2022-04-28 10:16:48 INFO     Third Set
2022-04-28 10:17:20 INFO     Swipe Attack 1
2022-04-28 10:24:19 INFO     Sleep 1
2022-04-28 10:24:20 INFO     Activate Zodac
2022-04-28 10:24:20 INFO     Sleep 60
2022-04-28 10:25:21 INFO     Click Boss
2022-04-28 10:25:22 INFO     Tap Attack 2
2022-04-28 10:27:22 INFO     Activate Rio Blast
2022-04-28 10:27:24 INFO     Swipe to Fourth Set
2022-04-28 10:27:29 INFO     Click Boss
2022-04-28 10:29:05 INFO     Click Mekaneck
2022-04-28 10:32:40 INFO     Click He-Man
2022-04-28 10:34:32 INFO     Upgrade Rio Blast, Mekaneck, He-Man
2022-04-28 10:35:20 INFO     Upgrade Teela
2022-04-28 10:38:28 INFO     START
2022-04-28 10:38:28 INFO     2022-04-28 10:38:28.574207
2022-04-28 10:38:52 INFO     Click First Boss
2022-04-28 10:39:20 INFO     Scroll to Second Set
2022-04-28 10:39:42 INFO     Third Set
2022-04-28 10:39:58 INFO     Swipe Attack 1
2022-04-28 10:46:57 INFO     Sleep 1
2022-04-28 10:46:58 INFO     Activate Zodac
2022-04-28 10:46:58 INFO     Sleep 60
2022-04-28 10:47:59 INFO     Click Boss
2022-04-28 10:48:00 INFO     Tap Attack 2
2022-04-28 10:50:00 INFO     Activate Rio Blast
2022-04-28 10:50:02 INFO     Swipe to Fourth Set
2022-04-28 10:51:12 INFO     Click Boss
2022-04-28 10:52:48 INFO     Click Mekaneck
2022-04-28 10:56:23 INFO     Click He-Man
2022-04-28 10:58:15 INFO     Upgrade Rio Blast, Mekaneck, He-Man
2022-04-28 10:59:15 INFO     START
2022-04-28 10:59:15 INFO     2022-04-28 10:59:15.238371
2022-04-28 10:59:38 INFO     Click First Boss
2022-04-28 11:00:07 INFO     Scroll to Second Set
2022-04-28 11:00:44 INFO     Third Set
2022-04-28 11:00:59 INFO     Swipe Attack 1
2022-04-28 11:07:58 INFO     Sleep 1
2022-04-28 11:07:59 INFO     Activate Zodac
2022-04-28 11:07:59 INFO     Sleep 60
2022-04-28 11:09:00 INFO     Click Boss
2022-04-28 11:09:01 INFO     Tap Attack 2
2022-04-28 11:11:01 INFO     Activate Rio Blast
2022-04-28 11:11:03 INFO     Swipe to Fourth Set
2022-04-28 11:12:13 INFO     Click Boss
2022-04-28 11:13:49 INFO     Click Mekaneck
2022-04-28 11:17:24 INFO     Click He-Man
2022-04-28 11:19:16 INFO     Upgrade Rio Blast, Mekaneck, He-Man
2022-04-28 11:20:04 INFO     Upgrade Teela
2022-04-28 11:22:59 INFO     Fourth Set
2022-04-28 11:25:09 INFO     Back to the Past
2022-04-28 11:25:18 INFO     START
2022-04-28 11:25:18 INFO     2022-04-28 11:25:18.904125
2022-04-28 11:25:42 INFO     Click First Boss
2022-04-28 11:26:11 INFO     Scroll to Second Set
2022-04-28 11:26:33 INFO     Third Set
2022-04-28 11:26:48 INFO     Swipe Attack 1
2022-04-28 11:33:47 INFO     Sleep 1
2022-04-28 11:33:48 INFO     Activate Zodac
2022-04-28 11:33:48 INFO     Sleep 60
2022-04-28 11:34:49 INFO     Click Boss
2022-04-28 11:34:50 INFO     Tap Attack 2
2022-04-28 11:36:50 INFO     Activate Rio Blast
2022-04-28 11:36:52 INFO     Swipe to Fourth Set
2022-04-28 11:37:41 INFO     Click Boss
2022-04-28 11:39:17 INFO     Click Mekaneck
2022-04-28 11:42:52 INFO     Click He-Man
2022-04-28 11:44:44 INFO     Upgrade Rio Blast, Mekaneck, He-Man
2022-04-28 11:45:44 INFO     START
2022-04-28 11:45:44 INFO     2022-04-28 11:45:44.567653
2022-04-28 11:46:08 INFO     Click First Boss
2022-04-28 11:46:37 INFO     Scroll to Second Set
2022-04-28 11:46:59 INFO     Third Set
2022-04-28 11:47:14 INFO     Swipe Attack 1
2022-04-28 11:54:13 INFO     Sleep 1
2022-04-28 11:54:14 INFO     Activate Zodac
2022-04-28 11:54:14 INFO     Sleep 60
2022-04-28 11:55:15 INFO     Click Boss
2022-04-28 11:55:16 INFO     Tap Attack 2
2022-04-28 11:57:16 INFO     Activate Rio Blast
2022-04-28 11:57:18 INFO     Swipe to Fourth Set
2022-04-28 11:57:45 INFO     Click Boss
2022-04-28 11:59:20 INFO     Click Mekaneck
2022-04-28 12:02:55 INFO     Click He-Man
2022-04-28 12:04:47 INFO     Upgrade Rio Blast, Mekaneck, He-Man
2022-04-28 12:05:35 INFO     Upgrade Teela
2022-04-28 12:08:31 INFO     Fourth Set
2022-04-28 12:10:55 INFO     Back to the Past
2022-04-28 12:11:04 INFO     START
2022-04-28 12:11:04 INFO     2022-04-28 12:11:04.578789
2022-04-28 12:11:28 INFO     Click First Boss
2022-04-28 12:11:56 INFO     Scroll to Second Set
2022-04-28 12:12:18 INFO     Third Set
2022-04-28 12:12:33 INFO     Swipe Attack 1
2022-04-28 12:19:32 INFO     Sleep 1
2022-04-28 12:19:33 INFO     Activate Zodac
2022-04-28 12:19:33 INFO     Sleep 60
2022-04-28 12:20:34 INFO     Click Boss
2022-04-28 12:20:35 INFO     Tap Attack 2
2022-04-28 12:22:35 INFO     Activate Rio Blast
2022-04-28 12:22:37 INFO     Swipe to Fourth Set
2022-04-28 12:23:04 INFO     Click Boss
2022-04-28 12:24:39 INFO     Click Mekaneck
